brain_var,estimate,statistic,p.value,beta,hemi,region
superiorparietal,-273.6960671778698,-6.521824752609952,7.275170675169917e-10,-2.760214127424673,left,superior parietal
paracentral,-63.322501987035636,-6.125087836331548,5.8697456933194145e-9,0.20220348655945522,left,paracentral
superiorparietal,-236.73175600281695,-6.115533902997795,6.1665372981418145e-9,-2.239693754941401,right,superior parietal
precuneus,-163.9584399335834,-5.885909954689156,1.9897182781894616e-8,-1.2149216874244098,left,precuneus
posteriorcingulate,-58.12540607053538,-5.630589488060217,7.083188153314572e-8,0.2753874365991827,right,posterior cingulate
parsorbitalis,-38.30127854308663,-5.594213436381908,8.463141423133771e-8,0.5545448702620529,left,pars orbitalis
paracentral,-66.34267013746563,-5.38873104735846,2.2809302660463556e-7,0.15967438211654825,right,paracentral
postcentral,-139.3190971138853,-5.269727793191103,4.005386342025443e-7,-0.8679578324369523,left,postcentral
precuneus,-151.86566696248735,-5.256373617478284,4.2644148472889364e-7,-1.0446348758709258,right,precuneus
supramarginal,-228.95428461555971,-5.180986526654263,6.062194679775676e-7,-2.1301737294145804,left,supramarginal
supramarginal,-166.0775566077847,-5.158662441989365,6.723349690343141e-7,-1.2447624545191096,right,supramarginal
inferiorparietal,-246.68569293071502,-4.961845156994948,1.6528594243105452e-6,-2.379862117144815,right,inferior parietal
postcentral,-125.4195181372436,-4.929890155688012,1.9084584551675933e-6,-0.6722281192003347,right,postcentral
frontalpole,-19.664025182540783,-4.920319445482807,1.9921957612978112e-6,0.8169890969474854,right,frontal pole
isthmuscingulate,-50.31598831269892,-4.914075622654576,2.048732159807402e-6,0.38535732136008,left,isthmus cingulate
inferiorparietal,-198.43349801840236,-4.676658913516927,5.829558746591429e-6,-1.7003891425248157,left,inferior parietal
isthmuscingulate,-42.20485556437747,-4.524320179654906,1.1186745605343569e-5,0.49957586636212986,right,isthmus cingulate
precentral,-131.86805216881461,-4.347812938969201,2.335098032674668e-5,-0.7630344464219754,left,precentral
posteriorcingulate,-44.337080382959016,-4.321566193495529,2.6004562324365712e-5,0.46955051429943023,left,posterior cingulate
caudalmiddlefrontal,-97.71184075523858,-4.256325746820753,3.391207263661175e-5,-0.28205689476639356,right,caudal middle frontal
insula,-73.35786524167916,-4.251307084494032,3.460761492973341e-5,0.06088850318063883,left,insula
caudalmiddlefrontal,-95.5838804011887,-4.196314662545156,4.3181112270973556e-5,-0.2520915936175591,left,caudal middle frontal
